postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
2000,200,54,273,59,TRUE
2001,404,,,,
2002,404,,,,
2004,404,,,,
2006,404,,,,
2007,200,8,21,6,TRUE
2008,200,16,33,5,TRUE
2009,200,40,161,32,TRUE
2010,200,59,254,60,TRUE
2011,200,58,247,37,TRUE
2012,404,,,,
2013,404,,,,
2015,200,22,84,17,TRUE
2016,200,31,131,18,TRUE
2017,200,46,146,15,TRUE
2018,200,93,305,18,TRUE
2019,200,91,488,58,TRUE
2020,200,96,388,,FALSE
2021,200,78,282,16,TRUE
2022,200,43,185,16,TRUE
2023,200,54,264,20,TRUE
2024,200,49,196,25,TRUE
2025,200,39,120,9,TRUE
2026,200,97,381,72,TRUE
2027,200,62,304,29,TRUE
2028,200,34,129,19,TRUE
2029,200,38,113,8,TRUE
2030,200,110,436,35,TRUE
2031,200,138,683,76,TRUE
2032,200,73,315,24,TRUE
2033,200,51,215,30,TRUE
2034,200,102,370,24,TRUE
2035,200,248,1152,111,TRUE
2036,200,256,1428,305,TRUE
2037,200,61,220,12,TRUE
2038,200,42,178,19,TRUE
2039,200,31,154,48,TRUE
2040,200,125,477,20,TRUE
2041,200,75,267,13,TRUE
2042,200,45,181,19,TRUE
2043,200,13,43,21,TRUE
2044,200,43,141,8,TRUE
2045,200,95,320,15,TRUE
2046,200,270,998,64,TRUE
2047,200,108,504,39,TRUE
2048,200,43,177,39,TRUE
2049,200,67,214,15,TRUE
2050,200,11,22,6,TRUE
2052,404,,,,
2055,404,,,,
2057,404,,,,
2058,404,,,,
2059,404,,,,
2060,200,61,460,268,TRUE
2061,200,28,84,9,TRUE
2062,200,37,202,75,TRUE
2063,200,56,193,16,TRUE
2064,200,34,92,7,TRUE
2065,200,114,520,23,TRUE
2066,200,169,719,45,TRUE
2067,200,89,336,26,TRUE
2068,200,106,480,50,TRUE
2069,200,143,623,39,TRUE
2070,200,104,631,124,TRUE
2071,200,88,489,79,TRUE
2072,200,54,223,29,TRUE
2073,200,112,565,55,TRUE
2074,200,190,935,35,TRUE
2075,200,148,818,70,TRUE
2076,200,191,945,40,TRUE
2077,200,233,1216,73,TRUE
2079,200,100,416,18,TRUE
2080,200,29,110,14,TRUE
2081,200,75,364,56,TRUE
2082,200,66,352,74,TRUE
2083,200,18,88,21,TRUE
2084,200,84,595,211,TRUE
2085,200,112,647,181,TRUE
2086,200,132,610,29,TRUE
2087,200,119,528,34,TRUE
2088,200,194,1032,285,TRUE
2089,200,62,234,14,TRUE
2090,200,72,289,31,TRUE
2091,404,,,,
2092,200,66,256,20,TRUE
2093,200,152,659,29,TRUE
2094,200,34,140,19,TRUE
2095,200,72,260,20,TRUE
2096,200,101,406,22,TRUE
2097,200,165,818,144,TRUE
2099,200,318,1234,35,TRUE
2100,200,229,1100,91,TRUE
2101,200,242,1177,147,TRUE
2102,200,69,355,20,TRUE
2103,200,135,560,45,TRUE
2104,200,55,297,25,TRUE
2105,200,24,68,8,TRUE
2106,200,112,321,9,TRUE
2107,200,155,658,28,TRUE
2108,200,32,127,19,TRUE
2109,404,,,,
2110,200,109,470,35,TRUE
2111,200,128,578,41,TRUE
2112,200,252,983,49,TRUE
2113,200,136,601,32,TRUE
2114,200,145,685,86,TRUE
2115,200,123,574,39,TRUE
2116,200,54,250,26,TRUE
2117,200,180,644,17,TRUE
2118,200,163,760,34,TRUE
2119,200,77,366,24,TRUE
2120,200,222,1092,30,TRUE
2121,200,146,688,56,TRUE
2122,200,167,765,91,TRUE
2123,404,,,,
2124,200,1,3,3,TRUE
2125,200,141,613,44,TRUE
2126,200,124,489,23,TRUE
2127,200,53,140,17,TRUE
2128,200,11,48,13,TRUE
2129,404,,,,
2130,200,32,131,16,TRUE
2131,200,95,439,33,TRUE
2132,200,122,421,18,TRUE
2133,200,139,490,41,TRUE
2134,200,68,403,145,TRUE
2135,200,154,662,30,TRUE
2136,200,106,387,18,TRUE
2137,200,304,1077,47,TRUE
2138,200,111,480,42,TRUE
2139,404,,,,
2140,200,46,203,30,TRUE
2141,200,150,513,17,TRUE
2142,200,221,815,33,TRUE
2143,200,55,193,22,TRUE
2144,200,217,,,FALSE
2145,200,785,3275,55,TRUE
2146,200,159,733,27,TRUE
2147,200,458,1965,84,TRUE
2148,200,643,2609,43,TRUE
2150,200,81,297,21,TRUE
2151,200,183,800,36,TRUE
2152,200,107,415,21,TRUE
2153,200,586,2819,100,TRUE
2154,200,376,1541,29,TRUE
2155,200,615,2468,47,TRUE
2156,200,423,1879,116,TRUE
2157,200,236,985,30,TRUE
2158,200,219,956,34,TRUE
2159,200,222,858,19,TRUE
2160,200,427,1503,47,TRUE
2161,200,421,1590,46,TRUE
2162,200,196,799,53,TRUE
2163,200,72,295,29,TRUE
2164,200,292,1184,48,TRUE
2165,200,312,1024,23,TRUE
2166,200,239,921,66,TRUE
2167,200,83,493,85,TRUE
2168,200,429,1665,64,TRUE
2170,200,1262,4837,53,TRUE
2171,200,577,1997,34,TRUE
2172,200,59,278,28,TRUE
2173,200,170,639,21,TRUE
2174,200,50,152,16,TRUE
2175,200,170,696,24,TRUE
2176,200,698,2505,46,TRUE
2177,200,155,529,34,TRUE
2178,200,328,1224,37,TRUE
2179,200,345,1483,60,TRUE
2190,200,406,1494,67,TRUE
2191,200,86,289,11,TRUE
2192,200,160,563,24,TRUE
2193,200,147,504,,FALSE
2194,200,123,443,42,TRUE
2195,200,113,381,56,TRUE
2196,200,438,1829,65,TRUE
2197,200,126,500,52,TRUE
2198,200,174,770,40,TRUE
2199,200,213,786,30,TRUE
2200,200,416,1512,40,TRUE
2203,200,60,262,38,TRUE
2204,200,127,425,18,TRUE
2205,200,129,428,21,TRUE
2206,200,333,1100,22,TRUE
2207,200,339,1521,74,TRUE
2208,200,156,603,26,TRUE
2209,200,138,476,16,TRUE
2210,200,350,1373,24,TRUE
2211,200,199,817,18,TRUE
2212,200,177,716,22,TRUE
2213,200,324,1475,131,TRUE
2214,200,70,339,37,TRUE
2216,200,209,756,36,TRUE
2217,200,221,875,35,TRUE
2218,200,124,452,23,TRUE
2219,200,180,821,42,TRUE
2220,200,199,710,16,TRUE
2221,200,230,,,FALSE
2222,200,89,397,46,TRUE
2223,200,208,1002,86,TRUE
2224,200,204,839,20,TRUE
2225,200,64,323,23,TRUE
2226,200,125,596,44,TRUE
2227,200,159,701,49,TRUE
2228,200,167,674,67,TRUE
2229,200,310,1313,64,TRUE
2230,200,266,1149,99,TRUE
2231,200,64,335,60,TRUE
2232,200,396,1846,79,TRUE
2233,200,442,2045,66,TRUE
2234,200,460,2011,46,TRUE
2250,200,1203,6032,114,TRUE
2251,200,382,1858,87,TRUE
2252,404,,,,
2256,200,151,673,26,TRUE
2257,200,303,1480,33,TRUE
2258,200,136,593,34,TRUE
2259,200,1124,5191,62,TRUE
2260,200,252,1065,79,TRUE
2261,200,579,2946,115,TRUE
2262,200,225,1018,51,TRUE
2263,200,257,968,45,TRUE
2264,200,362,1534,42,TRUE
2265,200,197,,,FALSE
2267,200,76,400,32,TRUE
2278,200,105,515,36,TRUE
2280,200,455,2067,27,TRUE
2281,200,271,1128,20,TRUE
2282,200,235,968,38,TRUE
2283,200,480,2257,46,TRUE
2284,200,168,855,46,TRUE
2285,200,506,2564,310,TRUE
2286,200,123,620,82,TRUE
2287,200,550,2347,34,TRUE
2289,200,215,985,30,TRUE
2290,200,465,2097,32,TRUE
